Id Curso;NOME CURSO
24446;MECÂNICO DE MANUTENÇÃO DE MÁQUINAS AGRÍCOLAS E VEÍCULOS PESADOS
54394;CORTADOR DE CONFECÇÃO INDUSTRIAL
54410;MECÂNICO DE MÁQUINAS RETA E OVERLOQUE
54771;CONTROLADORES LÓGICOS PROGRAMÁVEIS
54807;POWER MILL
54939;SEGURANÇA EM INSTALAÇÕES E SERVIÇOS EM ELETRICIDADE - NR10
55738;MODELAGEM DE BLAZER FEMININO SOB MEDIDA
56128;CAIXA DE MUDANÇAS DE VEÍCULOS PESADOS
58295;MANIPULADOR DE ALIMENTOS
60713;ALINHADOR DE DIREÇÃO DE VEÍCULOS LEVES
60741;INVENTOR
61813;FERRAMENTEIRO DE CONSTRUÇÃO DE MOLDES PARA PLÁSTICOS.
69908;NR-11 - OPERAÇÃO DE EMPILHADEIRA
76283;MODELISTA DE JOIAS 3D - RHINOCEROS
76298;MECÂNICO DE USINAGEM
77648;NR-11 - OPERAÇÃO DE EMPILHADEIRA - RECICLAGEM
80324;JOALHEIRO
80445;MECÂNICO DE MANUTENÇÃO
80622;OPERADOR DE LOGÍSTICA
80965;NR-35 SEGURANÇA NAS ATIVIDADES COM TRABALHO EM ALTURA - INICIAL
81091;REVIT ARCHITECTURE
82540;ASSISTENTE TÉCNICO DE VENDAS
84541;CALDEIREIRO MONTADOR
84829;ALMOXARIFE
85284;INTEGRAÇÃO EM LEAN SEIS SIGMA (WHITE BELT)
85623;TÉCNICO EM LOGÍSTICA
87978;TORNEIRO MECÂNICO
88065;PROGRAMAÇÃO E IMPRESSÃO 3D
88641;PROGRAMAÇÃO, PREPARAÇÃO E OPERAÇÃO DE CENTRO DE USINAGEM CNC
88643;PROGRAMAÇÃO, PREPARAÇÃO E OPERAÇÃO DE TORNO CNC
88656;SOLUÇÕES INTEGRADAS COM IOT
88665;MESTRE DE OBRAS
88685;BIM APLICADO AO PROJETO DE EDIFICAÇÕES
89542;ENERGIA SOLAR FOTOVOLTAICA - TECNOLOGIAS E APLICAÇÕES
90046;SOLDADOR
90529;MONTAGEM DE PAINÉIS ELÉTRICOS
90690;INSTALAÇÃO DE CERCA ELÉTRICA
91060;MECÂNICO DE MANUTENÇÃO DE MÁQUINAS AGRÍCOLAS
91232;LEITURA E INTERPRETAÇÃO DE DESENHO TÉCNICO MECÂNICO
91300;INSPETOR DE QUALIDADE
91301;METROLOGIA APLICADA À MECÂNICA
91392;AUXILIAR DE LINHA DE PRODUÇÃO
91425;AUXILIAR ADMINISTRATIVO
91428;ASSISTENTE DE RECURSOS HUMANOS
91575;TÉCNICO EM ADMINISTRAÇÃO
92129;BOLOS CASEIROS
92136;PADEIRO
92260;INFORMÁTICA BÁSICA
92660;TÉCNICO EM INFORMÁTICA PARA INTERNET
92661;POWER BI
92799;CCNA V7: INTRODUCTION TO NETWORKS
92800;CCNA V7: SWITCHING, ROUTING AND WIRELESS ESSENTIALS
93097;MECÂNICO DE AUTOMÓVEIS LEVES
93355;ASSISTENTE ADMINISTRATIVO
94660;AUXILIAR ADMINISTRATIVO
94691;ELETRICISTA DE MANUTENÇÃO ELETROELETRÔNICA
94832;ASSISTENTE DE MODELAGEM INDUSTRIAL DE ROUPAS
94834;COSTUREIRO DE MÁQUINA RETA E OVERLOQUE
94836;COSTUREIRO SOB MEDIDA
94922;ELETRICISTA INDUSTRIAL
95129;ADAPTAÇÃO DE MOLDES INDUSTRIAIS DE VESTIDOS
96362;ELETRICISTA INSTALADOR
96469;ARDUINO
97178;COMANDOS ELÉTRICOS
97240;MECÂNICO DE INJEÇÃO ELETRÔNICA DE VEÍCULOS LEVES
97254;ASSISTENTE ADMINISTRATIVO
97294;MECÂNICO DE SUSPENSÃO, DIREÇÃO E FREIOS DE VEÍCULOS LEVES
97371;COSTUREIRO DE CONSERTO E REFORMA DE ROUPAS
97415;ELETRICISTA AUTOMOTIVO DE VEÍCULOS LEVES
97418;MECÂNICO DE MÁQUINAS AGRÍCOLAS
97441;MECÂNICO AUXILIAR AUTOMOTIVO DE VEÍCULOS LEVES
97475;AUTOMAÇÃO DE ILUMINAÇÃO COM DISPOSITIVOS INTELIGENTES
97484;AUTOMAÇÃO RESIDENCIAL - TECNOLOGIA E APLICAÇÕES DE DISPOSITIVOS DE SEGURANÇA E CONFORTO
97486;PROGRAMAÇÃO EM PYTHON
97726;IMPLANTAÇÃO DE SERVIÇOS EM NUVEM - AWS CLOUD PRACTITIONER FOUNDATIONAL
97815;IMPLANTAÇÃO DE SERVIÇOS EM NUVEM - GOOGLE CLOUD FOUNDATIONS
97835;IMPLANTAÇÃO DE SERVIÇOS DE INTELIGÊNCIA ARTIFICIAL EM NUVEM - GOOGLE CLOUD AI FOUNDATIONS
98145;WEB DESIGNER - FRONT-END
98236;TÉCNICO EM ELETROELETRÔNICA
98366;MECÂNICO DE MOTOR CICLO OTTO
98688;TÉCNICO EM ELETROMECÂNICA
98743;IMPLANTAÇÃO DE SERVIÇOS EM NUVEM - MICROSOFT AZ-900
98922;PROGRAMAÇÃO ORACLE - JAVA FUNDAMENTALS
99208;ELETRÔNICA DIGITAL
99438;NR-13 - TREINAMENTO DE SEGURANÇA NA OPERAÇÃO DE CALDEIRAS
99456;MANUTENÇÃO EM CONDICIONADOR DE AR SPLIT INVERTER
99523;MODELAGEM EM SISTEMAS CAD POR MEIO DO SOFTWARE CATIA
99588;TÉCNICAS DE BRASAGEM EM TUBULAÇÃO DE COBRE
99726;SOLIDWORKS
100695;ASSISTENTE ADMINISTRATIVO
100904;FUNDAMENTOS DE POWER PLATFORM - MICROSOFT - PL-900
102159;FUNDAMENTOS DO PYTHON 1
102590;MICROSOFT POWER BI
102657;PROGRAMAÇÃO EM PYTHON
