codigo_curso;nome_curso
988;NR 20 – INTERMEDIÁRIO – SEGURANÇA E SAÚDE NO TRABALHO COM INFLAMÁVEIS E COMBUSTÍVEIS
989;INFORMÁTICA BÁSICA
990;NR 35 - SEGURANÇA E SAÚDE NOS TRABALHOS EM ALTURA - PERIÓDICO
991;MECÂNICO INDUSTRIAL
992;EMPREENDER SENAI
993;AUTOMAÇÃO INDUSTRIAL
994;DIAGNÓSTICO E MANUTENÇÃO DOS SISTEMAS DE SUSPENSÃO, DIREÇÃO E FREIOS DE VEÍCULOS (SENAI CATANDUVA)
995;CALDEIRA
996;MECÂNICO DE MANUTENÇÃO   
997;PRIVACIDADE E PROTEÇÃO DE DADOS (LGPD)
998;COMPETÊNCIA TRANSVERSAL - TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO
999;CAM
1000;MANUTENÇÃO PRODUTIVA TOTAL
