codigo_curso;nome_curso
1;ADAPTAÇÃO DE MOLDES INDUSTRIAIS DE CALÇAS
2;ADAPTAÇÃO DE MOLDES INDUSTRIAIS DE SAIAS
3;ADAPTAÇÃO DE MOLDES INDUSTRIAIS DE VESTIDOS
4;AJUSTADOR MECÂNICO
5;AJUSTADOR MECÂNICO
6;ALIMENTOS FUNCIONAIS
7;ALINHADOR DE DIREÇÃO DE VEÍCULOS LEVES
8;ARDUINO
9;ASSISTENTE DE MODELAGEM INDUSTRIAL DE ROUPAS
10;ASSISTENTE DE RECURSOS HUMANOS
11;AUTOMAÇÃO DE ILUMINAÇÃO COM DISPOSITIVOS INTELIGENTES
12;AUTOMAÇÃO RESIDENCIAL - TECNOLOGIA E APLICAÇÕES DE DISPOSITIVOS DE SEGURANÇA E CONFORTO
13;AUXILIAR ADMINISTRATIVO
14;BIM APLICADO AO PROJETO DE EDIFICAÇÕES
15;CAIXA DE MUDANÇAS DE VEÍCULOS PESADOS
16;CARACTERÍSTICAS TÉCNICAS DE INJEÇÃO ELETRÔNICA DE VEÍCULOS LEVES
17;CARACTERÍSTICAS TÉCNICAS DE MOTORES À COMBUSTÃO INTERNA
18;CCNA V7: ENTERPRISE NETWORKING, SECURITY AND AUTOMATION
19;CCNA V7: INTRODUCTION TO NETWORKS
20;COMANDOS ELÉTRICOS
21;COMPETÊNCIA TRANSVERSAL - EDUCAÇÃO AMBIENTAL
22;COMPETÊNCIA TRANSVERSAL - FINANÇAS PESSOAIS
23;COMPETÊNCIA TRANSVERSAL - FUNDAMENTOS DE LOGÍSTICA
24;COMPETÊNCIA TRANSVERSAL - LÓGICA DE PROGRAMAÇÃO
25;COMPETÊNCIA TRANSVERSAL - METROLOGIA
26;COMPETÊNCIA TRANSVERSAL - NOÇÕES BÁSICAS DE MECÂNICA AUTOMOTIVA
27;COMPETÊNCIA TRANSVERSAL - PROPRIEDADE INTELECTUAL
28;COMPETÊNCIA TRANSVERSAL - SEGURANÇA NO TRABALHO
29;COMPETÊNCIA TRANSVERSAL - TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO
30;CONFIGURAÇÃO DE SERVIÇOS EM NUVEM
31;CONTROLADOR DE LOGÍSTICA DE PRODUÇÃO
32;CONTROLADORES LÓGICOS PROGRAMÁVEIS
33;CONTROLE DE SUPRIMENTOS
34;CONVERSORES E INVERSORES
35;CORTADOR DE CONFECÇÃO INDUSTRIAL
36;CORTE E COSTURA SOB MEDIDA (Gratuito)
37;COSTUREIRO DE CONSERTO E REFORMA DE ROUPAS
38;COSTUREIRO DE MÁQUINA RETA E OVERLOQUE
39;COSTUREIRO SOB MEDIDA
40;DESMISTIFICANDO A INDÚSTRIA 4.0
41;DESVENDANDO A BLOCKCHAIN
42;DESVENDANDO A INDÚSTRIA 4.0
43;DESVENDANDO O 5G
44;DESVENDANDO O BIM
45;DIAGNOSTICO DO SISTEMA DE INJEÇÃO DIRETA EM MOTORES CICLO OTTO
46;DIAGNÓSTICO E MANUTENÇÃO DE INJEÇÃO ELETRÔNICA DE MOTORES DIESEL
47;DIAGNÓSTICO E MANUTENÇÃO EM ELÉTRICA AUTOMOTIVA
48;ECONOMIA CIRCULAR
49;ELETRICISTA AUTOMOTIVO DE VEÍCULOS LEVES
50;ELETRICISTA INDUSTRIAL
51;ELETRICISTA INSTALADOR
52;ELETRICISTA INSTALADOR RESIDENCIAL
53;ELETRO-HIDRÁULICA
54;ELETROPNEUMÁTICA
55;EMPREENDER SENAI
56;ENERGIA SOLAR FOTOVOLTAICA - TECNOLOGIAS E APLICAÇÕES
57;EXCEL BÁSICO
58;FABRICAÇÃO DE BOMBONS FINOS
59;FABRICAÇÃO DE PIZZAS
60;FERRAMENTEIRO DE CONSTRUÇÃO DE MOLDES PARA PLÁSTICOS.
61;FERRAMENTEIRO DE CORTE E DOBRA
62;FUNDAMENTOS DE BIG DATA E DATA ANALYTICS COM PYTHON
63;FUNDAMENTOS DE POWER PLATFORM - MICROSOFT - PL-900
64;FUNDAMENTOS DE SEGURANÇA EM NUVEM - MICROSOFT - SC-900
65;IMPLANTAÇÃO DE SERVIÇOS DE INTELIGÊNCIA ARTIFICIAL EM NUVEM - GOOGLE CLOUD AI FOUNDATIONS
66;IMPLANTAÇÃO DE SERVIÇOS DE INTELIGÊNCIA ARTIFICIAL EM NUVEM - MICROSOFT AI-900
67;IMPLANTAÇÃO DE SERVIÇOS EM NUVEM - AWS CLOUD PRACTITIONER FOUNDATIONAL
68;IMPLANTAÇÃO DE SERVIÇOS EM NUVEM - GOOGLE CLOUD FOUNDATIONS
69;IMPLANTAÇÃO DE SERVIÇOS EM NUVEM - MICROSOFT AZ-900
70;IMPLANTAÇÃO E ANÁLISE DE DADOS EM NUVEM - MICROSOFT DP-900
71;INFORMÁTICA BÁSICA
72;INSPETOR DE QUALIDADE
73;INSTALAÇÃO DE CERCA ELÉTRICA
74;INSTALAÇÃO DE SISTEMAS PARA MICROGERAÇÃO FOTOVOLTAICA CONECTADOS À REDE
75;INSTALAÇÃO E MANUTENÇÃO DE CONDICIONADORES DE AR TIPO SPLIT
76;INSTALADOR DE CONDICIONADOR DE AR TIPO SPLIT
77;INSTALADOR DE SISTEMAS DE ENERGIA SOLAR FOTOVOLTAICA
78;INTEGRAÇÃO EM LEAN SEIS SIGMA (WHITE BELT)
79;INVENTOR
80;LEITURA E INTERPRETAÇÃO DA NR-12 - SEGURANÇA NO TRABALHO EM MÁQUINAS E EQUIPAMENTOS
81;LEITURA E INTERPRETAÇÃO DE DESENHO TÉCNICO MECÂNICO
82;LUBRIFICAÇÃO AUTOMOTIVA
83;MANIPULADOR DE ALIMENTOS
84;MANUTENÇÃO DE AR CONDICIONADO SPLIT
85;MANUTENÇÃO E DIAGNOSTICO DE SISTEMAS DE CLIMATIZAÇÃO DE VEÍCULOS LEVES
86;MANUTENÇÃO EM CONDICIONADOR DE AR TIPO SPLIT
87;MECÂNICO AUXILIAR AUTOMOTIVO DE VEÍCULOS LEVES
88;MECÂNICO DE INJEÇÃO ELETRÔNICA DE VEÍCULOS LEVES
89;MECÂNICO DE MÁQUINAS AGRÍCOLAS
90;MECÂNICO DE MÁQUINAS RETA E OVERLOQUE
91;MECÂNICO DE MOTOR CICLO DIESEL
92;MECÂNICO DE MOTOR CICLO OTTO
93;MECÂNICO DE SUSPENSÃO, DIREÇÃO E FREIOS DE VEÍCULOS LEVES
94;MESTRE DE OBRAS
95;METROLOGIA APLICADA A MOTORES DE COMBUSTÃO INTERNA
96;MICROSOFT POWER PLATFORM FUNDAMENTALS - PL-900
97;MODELAGEM DE BLAZER FEMININO SOB MEDIDA
98;MODELAGEM DE CALÇA SOB MEDIDA
99;MODELAGEM DE CAMISA SOB MEDIDA
100;MODELAGEM EM SISTEMAS CAD POR MEIO DO SOFTWARE CATIA
101;MODELISTA DE JOIAS 3D - RHINOCEROS
102;MONTAGEM DE PAINÉIS ELÉTRICOS
103;NR-11 - OPERAÇÃO DE EMPILHADEIRA
104;OPERAÇÃO DE TRATOR RURAL
105;OPERADOR DE LOGÍSTICA
106;ORIENTADOR DE PRÁTICAS NA EMPRESA
107;PADEIRO
108;PLANEJAMENTO E DIMENSIONAMENTO DE REDES DE COMPUTADORES
109;POWER BI
110;PREPARAÇÃO PARA O MUNDO DO TRABALHO
111;PRINCÍPIOS DE SEGURANÇA DA INFORMAÇÃO - CIBERSEGURANÇA
112;PRIVACIDADE E PROTEÇÃO DE DADOS (LGPD)
113;PROGRAMAÇÃO E IMPRESSÃO 3D
114;PROGRAMAÇÃO EM PYTHON
115;PROGRAMAÇÃO ORACLE - JAVA FUNDAMENTALS
116;PROGRAMAÇÃO, PREPARAÇÃO E OPERAÇÃO DE CENTRO DE USINAGEM CNC
117;PROGRAMAÇÃO, PREPARAÇÃO E OPERAÇÃO DE TORNO CNC
118;PROJETOS DE SISTEMAS PARA MICROGERAÇÃO FOTOVOLTAICA CONECTADOS À REDE
119;REPARAÇÃO EM INSTALAÇÕES ELÉTRICAS
120;REVIT ARCHITECTURE
121;SEGURANÇA EM INSTALAÇÕES E SERVIÇOS EM ELETRICIDADE - NR10
122;SEGURANÇA EM INSTALAÇÕES E SERVIÇOS EM ELETRICIDADE - NR10 - RECICLAGEM
123;SEGURANÇA NAS ATIVIDADES COM TRABALHOS EM ALTURA NR-35
124;SELEÇÃO E IDENTIFICAÇÃO DE LUBRIFICANTES
125;SOLDADOR AO ARCO ELÉTRICO - ELETRODO REVESTIDO
126;SOLDAGEM AO ARCO ELÉTRICO MAG NAS POSIÇÕES PLANA, HORIZONTAL E VERTICAL
127;SOLDAGEM AO ARCO ELÉTRICO TIG EM AÇO INOXIDÁVEL
128;SOLDAGEM DE MANUTENÇÃO
129;SOLDAGEM TIG 1F E 1G
130;SOLIDWORKS
131;TÉCNICAS DE RETÍFICA DE BIELA DE MOTORES À COMBUSTÃO INTERNA
132;TÉCNICAS DE RETÍFICA DE BLOCO DE MOTORES À COMBUSTÃO INTERNA
133;TÉCNICAS DE RETÍFICA DE CABEÇOTE DE MOTORES À COMBUSTÃO INTERNA
134;TÉCNICAS DE RETÍFICA DE VIRABREQUIM DE MOTORES À COMBUSTÃO INTERNA
135;TÉCNICAS DE RETÍFICA DE VOLANTE DE MOTORES À COMBUSTÃO INTERNA
136;TORNEIRO MECÂNICO
137;VEÍCULOS ELÉTRICOS E HÍBRIDOS
138;WEB DESIGNER - FRONT-END
